Image#  Defocus1  Defocus2  Astig
   78   28719.0   27779.6   78.22
   78   28719.0   27779.6   78.22
   79   29298.8   28786.1   66.82
   79   29298.8   28786.1   66.82
   79   29298.8   28786.1   66.82
   79   29298.8   28786.1   66.82
   79   29298.8   28786.1   66.82
   80   28731.1   28135.8   44.54
   80   28731.1   28135.8   44.54
   80   28731.1   28135.8   44.54
   80   28731.1   28135.8   44.54
   81   27340.2   26728.0   74.13
   81   27340.2   26728.0   74.13
   81   27340.2   26728.0   74.13
   81   27340.2   26728.0   74.13
   82   23780.0   23994.6  -50.38
   82   23780.0   23994.6  -50.38
   82   23780.0   23994.6  -50.38
   83   22669.0   22182.4   21.54
   84   22255.9   22563.3  -26.12
   84   22255.9   22563.3  -26.12
   85   49660.6   47465.8   77.74
   86   38901.5   40225.6   -5.55
   87   38820.3   38969.0   27.34
   87   38820.3   38969.0   27.34
   87   38820.3   38969.0   27.34
   88   34364.5   33985.7   62.26
   88   34364.5   33985.7   62.26
   89   45540.3   47837.5   -8.45
   89   45540.3   47837.5   -8.45
   89   45540.3   47837.5   -8.45
   90   45817.2   47036.6   22.45
   90   45817.2   47036.6   22.45
   91   41578.4   41294.5   -8.54
   91   41578.4   41294.5   -8.54
   92   41274.6   40611.4   70.40
   92   41274.6   40611.4   70.40
   93   38514.9   37976.4   66.01
   93   38514.9   37976.4   66.01
   93   38514.9   37976.4   66.01
   94   36086.8   36422.7    3.72
   94   36086.8   36422.7    3.72
   94   36086.8   36422.7    3.72
   94   36086.8   36422.7    3.72
   94   36086.8   36422.7    3.72
   95   34964.9   36508.5   -3.34
   95   34964.9   36508.5   -3.34
   96   35045.7   35543.8   29.15
   96   35045.7   35543.8   29.15
   96   35045.7   35543.8   29.15
   97   34031.0   33697.0   75.25
   97   34031.0   33697.0   75.25
   97   34031.0   33697.0   75.25
   98   33884.7   33441.1   74.07
   99   33846.5   32869.9   65.73
   99   33846.5   32869.9   65.73
   99   33846.5   32869.9   65.73
  100   31565.1   30893.3   30.79
  100   31565.1   30893.3   30.79
  100   31565.1   30893.3   30.79
  100   31565.1   30893.3   30.79
  101   30445.1   29865.5   64.17
  101   30445.1   29865.5   64.17
  101   30445.1   29865.5   64.17
  102   30141.3   29615.5   56.51
  102   30141.3   29615.5   56.51
  103   29954.9   28951.5   66.39
  103   29954.9   28951.5   66.39
  103   29954.9   28951.5   66.39
  104   27372.9   27000.0   67.77
  105   25641.0   25085.1   70.97
  105   25641.0   25085.1   70.97
  105   25641.0   25085.1   70.97
  106   24354.7   23852.2   55.12
  106   24354.7   23852.2   55.12
  106   24354.7   23852.2   55.12
  107   43490.6   44623.8    9.20
  107   43490.6   44623.8    9.20
  107   43490.6   44623.8    9.20
  108   43166.2   44100.6    3.94
  109   41824.0   42537.3   -5.93
  109   41824.0   42537.3   -5.93
  110   38854.1   40805.1   -6.78
  111   40863.3   42497.7  -11.43
  112   42663.0   41230.1   76.69
  112   42663.0   41230.1   76.69
  113   38300.6   39161.8   -7.83
  113   38300.6   39161.8   -7.83
  113   38300.6   39161.8   -7.83
  114   40006.6   41112.4   -3.47
  115   38836.5   39138.7  -17.88
  115   38836.5   39138.7  -17.88
  116   34199.4   33620.7   69.11
