Image#  Defocus1  Defocus2  Astig
  334   39074.7   38595.6   65.26
  335   37978.5   36598.3   70.53
  335   37978.5   36598.3   70.53
  336   33321.7   33942.5   19.37
  337   33248.6   34778.7   -3.13
  338   30787.3   32002.0   -7.21
  338   30787.3   32002.0   -7.21
  339   28702.0   27746.8   76.97
  339   28702.0   27746.8   76.97
  340   45774.1   43998.4   69.24
  340   45774.1   43998.4   69.24
  341   36404.8   36455.7  -23.20
  341   36404.8   36455.7  -23.20
  341   36404.8   36455.7  -23.20
  342   40252.6   39282.6    6.50
  342   40252.6   39282.6    6.50
  342   40252.6   39282.6    6.50
  342   40252.6   39282.6    6.50
  343   38072.1   36924.1   67.02
  343   38072.1   36924.1   67.02
  343   38072.1   36924.1   67.02
  344   43933.5   42129.9   64.22
  344   43933.5   42129.9   64.22
  344   43933.5   42129.9   64.22
  345   41145.1   42519.9  -10.90
  345   41145.1   42519.9  -10.90
  346   28837.6   29798.4   -7.90
  346   28837.6   29798.4   -7.90
  347   35509.4   37012.3   -6.99
  347   35509.4   37012.3   -6.99
  347   35509.4   37012.3   -6.99
  348   33416.7   34171.9    1.11
  349   41575.9   43612.1   -4.76
  349   41575.9   43612.1   -4.76
  350   43716.1   45447.4   -4.74
  350   43716.1   45447.4   -4.74
  350   43716.1   45447.4   -4.74
  350   43716.1   45447.4   -4.74
  351   39335.9   40347.4   -5.83
  351   39335.9   40347.4   -5.83
  351   39335.9   40347.4   -5.83
  352   42153.3   41022.9   57.68
  352   42153.3   41022.9   57.68
  353   36973.7   38437.6   -0.05
  354   39379.3   40259.9   70.45
  354   39379.3   40259.9   70.45
  354   39379.3   40259.9   70.45
  355   34431.0   35540.8    5.17
  355   34431.0   35540.8    5.17
  355   34431.0   35540.8    5.17
  356   35522.7   36926.0   -2.20
  356   35522.7   36926.0   -2.20
  356   35522.7   36926.0   -2.20
  357   37501.3   36457.1   49.31
  357   37501.3   36457.1   49.31
  357   37501.3   36457.1   49.31
  357   37501.3   36457.1   49.31
  358   32185.0   30510.8   74.20
  358   32185.0   30510.8   74.20
  358   32185.0   30510.8   74.20
  359   32171.5   33023.4   -5.18
  360   31130.9   32296.2   -7.06
  360   31130.9   32296.2   -7.06
  361   31043.3   31899.6   -4.11
  362   30562.0   32304.5   -8.94
  363   25984.8   26450.6   81.06
  363   25984.8   26450.6   81.06
  364   39206.9   41543.6    6.57
  364   39206.9   41543.6    6.57
  365   40574.3   39972.8   80.01
  365   40574.3   39972.8   80.01
  366   38970.6   41879.7    2.12
  366   38970.6   41879.7    2.12
  367   35989.9   36820.2   -5.11
  368   33546.0   34994.7   -6.17
  369   29315.3   31833.3   -3.22
  370   28538.2   27078.1   72.21
  371   31083.5   29547.0   67.50
  371   31083.5   29547.0   67.50
  371   31083.5   29547.0   67.50
  371   31083.5   29547.0   67.50
  372   46981.3   47831.5   -2.90
  372   46981.3   47831.5   -2.90
  373   47288.8   48143.9   38.42
  374   40044.5   41354.5   56.70
  375   36005.8   37956.0   29.53
  375   36005.8   37956.0   29.53
  376   36284.5   36982.6   51.75
  376   36284.5   36982.6   51.75
  376   36284.5   36982.6   51.75
  377   38468.4   38946.1   29.21
  377   38468.4   38946.1   29.21
  377   38468.4   38946.1   29.21
  377   38468.4   38946.1   29.21
  378   33008.4   31106.8    3.89
  378   33008.4   31106.8    3.89
  379   33976.4   35428.4   29.79
  379   33976.4   35428.4   29.79
  379   33976.4   35428.4   29.79
  380   28846.5   30636.1   69.09
  380   28846.5   30636.1   69.09
  381   31256.6   31732.8   37.45
  381   31256.6   31732.8   37.45
  381   31256.6   31732.8   37.45
  382   32708.5   33151.5   50.76
  382   32708.5   33151.5   50.76
  383   40867.9   41761.9   18.53
  383   40867.9   41761.9   18.53
  384   38625.4   40105.2   29.18
  384   38625.4   40105.2   29.18
  385   38458.2   39123.6   60.01
  385   38458.2   39123.6   60.01
  385   38458.2   39123.6   60.01
  385   38458.2   39123.6   60.01
  386   36690.5   37644.0   44.41
  386   36690.5   37644.0   44.41
  386   36690.5   37644.0   44.41
  387   34885.7   36305.5   56.14
  387   34885.7   36305.5   56.14
  388   33932.8   34995.5   49.39
  389   35630.5   36183.7   36.25
  389   35630.5   36183.7   36.25
  389   35630.5   36183.7   36.25
  390   34554.9   35920.1   35.01
  390   34554.9   35920.1   35.01
  390   34554.9   35920.1   35.01
  391   31286.7   32578.8   35.20
  392   28429.6   29493.3   68.10
  393   29863.3   31226.4   46.26
  394   28493.7   29195.6   40.31
  394   28493.7   29195.6   40.31
  395   24670.1   25826.3   47.72
  395   24670.1   25826.3   47.72
  396   44353.6   44913.2   52.73
  396   44353.6   44913.2   52.73
  396   44353.6   44913.2   52.73
  396   44353.6   44913.2   52.73
  397   38543.0   40722.9   57.30
  397   38543.0   40722.9   57.30
  397   38543.0   40722.9   57.30
  398   38453.4   40211.7   49.52
  398   38453.4   40211.7   49.52
  398   38453.4   40211.7   49.52
  398   38453.4   40211.7   49.52
  399   37858.8   39074.2   39.45
  400   35765.0   36776.5   30.25
  400   35765.0   36776.5   30.25
  401   35543.4   36704.7   43.53
  402   36139.2   37135.7   52.83
  403   32931.0   33946.0   47.00
  403   32931.0   33946.0   47.00
  403   32931.0   33946.0   47.00
  403   32931.0   33946.0   47.00
  403   32931.0   33946.0   47.00
  404   30903.6   31972.3   41.00
  404   30903.6   31972.3   41.00
  405   31060.8   31733.4   46.57
  406   28047.8   28862.0   67.31
  406   28047.8   28862.0   67.31
  406   28047.8   28862.0   67.31
  407   42483.4   41401.4   59.79
  407   42483.4   41401.4   59.79
  408   42736.4   40424.4   83.90
  409   41646.6   40463.9   65.62
  410   40581.3   42535.6   -3.60
  410   40581.3   42535.6   -3.60
  411   36695.3   35226.9   71.03
  412   36544.3   38421.5   -7.48
  412   36544.3   38421.5   -7.48
  413   36330.5   38636.6    0.42
  413   36330.5   38636.6    0.42
  413   36330.5   38636.6    0.42
  413   36330.5   38636.6    0.42
  413   36330.5   38636.6    0.42
  414   36315.4   35544.5   35.42
  415   31618.5   31381.1   12.67
  415   31618.5   31381.1   12.67
  415   31618.5   31381.1   12.67
  416   28361.3   29065.9   15.94
  416   28361.3   29065.9   15.94
  417   41903.5   41403.6   66.22
  417   41903.5   41403.6   66.22
  417   41903.5   41403.6   66.22
  418   40494.6   38492.3   27.93
  419   38361.2   40059.4   18.50
  420   39090.7   39973.3    5.26
  420   39090.7   39973.3    5.26
  420   39090.7   39973.3    5.26
  421   33691.4   35357.1   -9.47
  421   33691.4   35357.1   -9.47
  421   33691.4   35357.1   -9.47
  421   33691.4   35357.1   -9.47
  422   31115.3   31457.1   40.70
  422   31115.3   31457.1   40.70
  422   31115.3   31457.1   40.70
  423   29843.7   30036.1   -7.50
  424   29512.0   30589.1   -2.83
  425   25860.1   25956.9  -17.17
  425   25860.1   25956.9  -17.17
  426   33237.9   32263.6   78.51
  426   33237.9   32263.6   78.51
  426   33237.9   32263.6   78.51
  426   33237.9   32263.6   78.51
  426   33237.9   32263.6   78.51
  427   35526.3   35030.0   62.43
  428   35949.5   34697.5   66.05
  428   35949.5   34697.5   66.05
  429   36129.4   36301.1   51.41
  429   36129.4   36301.1   51.41
